pdpass,invnum_n,"dateincorporated",yearStartup
12112110,45702571,"1989-06-28",1989
11790888,45747142,"1989-11-08",1989
12903760,45771662,"2003-08-29",2003
13211884,45834721,"2002-08-15",2002
12051639,45846351,"1996-09-24",1996
12931603,45846521,"2003-06-27",2003
11380500,45846901,"1990-08-30",1990
12515044,45882631,"1997-03-26",1997
11293046,45905262,"1985-06-17",1985
12002667,45908541,"1988-03-25",1988
13155695,45915502,"1995-07-26",1995
11099195,45927863,"1989-08-31",1989
11224877,45958752,"1985-11-15",1985
12777071,45962701,"2000-05-04",2000
11593116,45969293,"1990-01-29",1990
11074144,45970841,"1982-05-10",1982
11643295,45979051,"1986-09-11",1986
11127656,45981811,"1987-05-11",1987
11758754,45993111,"1989-10-27",1989
12801931,45995231,"1999-01-06",1999
10880405,46005322,"1984-02-22",1984
12403567,46005322,"1993-07-16",1993
12658714,46031422,"1998-05-13",1998
12407944,46045421,"1999-08-27",1999
12212407,46046781,"1994-10-11",1994
12944663,46047901,"2000-11-09",2000
11751586,46095635,"1996-04-19",1996
11136860,46106722,"1990-09-07",1990
10459323,46108001,"1997-08-06",1997
12442867,46112931,"1997-01-01",1997
11882752,46118882,"1993-07-19",1993
12459466,46124321,"1997-07-02",1997
12009280,46141191,"1992-02-26",1992
11832676,46142192,"1987-11-23",1987
11628147,46161421,"1989-03-02",1989
12556189,46162072,"1999-08-26",1999
11099195,46183482,"1989-08-31",1989
12670557,46189371,"1999-04-21",1999
11143582,46196574,"1987-06-11",1987
12473869,46213291,"1999-01-01",1999
12718311,46214141,"1997-11-24",1997
10722499,46224991,"1980-07-21",1980
12009540,46226311,"1995-06-14",1995
12457223,46241401,"1996-08-19",1996
12457223,46241403,"1996-08-19",1996
10977322,46256791,"1986-04-16",1986
12364635,46257121,"1997-01-23",1997
12788861,46257121,"1998-09-24",1998
12383385,46266722,"1999-06-17",1999
12385075,46328711,"1992-04-27",1992
12358769,46329051,"1992-01-06",1992
11293046,46348961,"1985-06-17",1985
11504033,46349041,"1992-07-08",1992
12687992,46352173,"2000-10-12",2000
11115800,46369421,"1988-04-14",1988
11210339,46378272,"1990-12-13",1990
11014429,46399102,"1988-04-26",1988
10930460,46419121,"1986-02-18",1986
11790831,46437141,"1993-03-30",1993
12478527,46467292,"1999-10-21",1999
13000710,46477951,"2000-09-01",2000
11780624,46480341,"1996-05-22",1996
11412337,46522603,"1984-09-20",1984
12590642,46530192,"1992-06-08",1992
12692324,46533501,"1998-06-02",1998
11753717,46535771,"1992-12-24",1992
11458926,46545092,"1987-05-11",1987
11246461,46546481,"1989-11-21",1989
11889665,46562482,"1994-05-09",1994
11291501,46563584,"1990-08-15",1990
11613132,46564173,"1990-05-11",1990
12679805,46578852,"1998-07-31",1998
12858440,46587291,"2002-09-10",2002
11272000,46591721,"1984-07-25",1984
10900402,46598741,"1987-10-05",1987
11211451,46605861,"1984-09-27",1984
11627320,46625551,"1993-12-08",1993
13209985,46636612,"2000-10-23",2000
12079643,46664471,"1996-07-11",1996
11322495,46694654,"1992-01-31",1992
11486968,46705571,"1994-01-18",1994
12707311,46708542,"1998-07-09",1998
12066330,46708612,"1996-01-03",1996
12484683,46724031,"1995-08-18",1995
10937770,46749602,"1988-03-10",1988
13092671,46758301,"1999-09-24",1999
12307250,46770292,"1995-05-16",1995
10891675,46806261,"1984-12-12",1984
10911090,46806351,"1987-04-29",1987
12901992,46806531,"2000-04-06",2000
12703118,46837502,"2000-05-04",2000
13016083,46837502,"2003-10-21",2003
11849717,46840673,"1992-02-03",1992
12967645,46848305,"1998-12-02",1998
11367120,46881581,"1985-07-03",1985
11367120,46881583,"1985-07-03",1985
12359600,46895811,"1998-05-21",1998
12520048,46899471,"1999-04-14",1999
11384135,46901622,"1989-07-14",1989
12549657,46908621,"1999-04-15",1999
11026880,46914182,"1987-12-17",1987
12624608,46917623,"1996-03-13",1996
10952914,46953351,"1987-02-23",1987
12294453,46954593,"1997-03-14",1997
11112517,46972612,"1988-08-11",1988
13156679,46998801,"2000-05-08",2000
12614233,47011781,"1998-03-18",1998
10949707,47016311,"1985-10-29",1985
12886934,47041221,"2001-03-08",2001
11196815,47046921,"1987-03-23",1987
11479808,47056011,"1993-01-19",1993
13241348,47057291,"2004-09-23",2004
11007819,47069091,"1987-08-03",1987
12844299,47088711,"2003-02-11",2003
12791163,47093274,"1996-04-10",1996
12126097,47093441,"1996-10-24",1996
11044420,47094711,"1988-12-20",1988
11762664,47101761,"1991-11-27",1991
12789071,47101761,"1998-01-21",1998
12306980,47117262,"1999-05-10",1999
12358733,47131572,"1999-03-25",1999
11527774,47134631,"1992-03-24",1992
10772364,47135342,"1984-10-05",1984
11429398,47135772,"1991-08-30",1991
12333165,47136601,"1999-05-28",1999
12714685,47137925,"1999-08-12",1999
12535434,47141192,"1987-10-23",1987
11444460,47144701,"1993-02-09",1993
12465768,47146741,"2000-06-05",2000
11114098,47146851,"1986-06-06",1986
11018972,47149671,"1986-04-25",1986
11255743,47163881,"1992-05-20",1992
12674608,47165752,"1999-02-23",1999
10907845,47188881,"1987-05-19",1987
11243502,47198252,"1989-03-09",1989
12713059,47198252,"1997-08-04",1997
11495480,47213855,"1990-04-05",1990
12899260,47245201,"2000-09-20",2000
12377915,47252873,"1996-06-21",1996
11127656,47289205,"1987-05-11",1987
11299101,47309723,"1987-12-29",1987
11114098,47328741,"1986-06-06",1986
13126979,47349101,"1997-12-15",1997
11145054,47356103,"1989-01-12",1989
11959508,47376831,"1993-10-27",1993
11422207,47420161,"1992-01-16",1992
12326034,47438111,"1997-05-01",1997
12047892,47459231,"1996-06-12",1996
12722041,47459231,"1987-12-09",1987
12825292,47468731,"2000-04-26",2000
11312223,47497363,"1987-04-07",1987
12181508,47501122,"1996-08-07",1996
10915057,47501601,"1985-09-25",1985
10949707,47527222,"1985-10-29",1985
12342748,47529452,"1997-11-14",1997
12377753,47553563,"1998-10-28",1998
13134678,47554782,"2002-06-24",2002
12538368,47558721,"2000-02-11",2000
12478527,47571281,"1999-10-21",1999
11959508,47585334,"1993-10-27",1993
12077534,47587291,"1995-10-30",1995
11960993,47608461,"1995-06-19",1995
13094843,47614811,"2000-12-19",2000
11716851,47616393,"1994-10-21",1994
10891675,47632882,"1984-12-12",1984
12898691,47642482,"2001-10-15",2001
12189715,47649302,"1998-05-21",1998
12281717,47649352,"1998-07-29",1998
11847692,47679733,"1987-10-13",1987
12438803,47691487,"1998-03-16",1998
12177584,47694472,"1996-09-10",1996
12161759,47697851,"1995-08-02",1995
11907683,47711242,"1994-05-23",1994
12788861,47728153,"1998-09-24",1998
11502369,47728821,"1992-09-15",1992
11308219,47742285,"1990-12-03",1990
12174688,47762421,"1995-03-22",1995
12076475,47762891,"1994-01-19",1994
12977960,47765352,"2000-09-08",2000
12977960,47765353,"2000-09-08",2000
13115544,47766741,"2001-10-24",2001
10938690,47799782,"1987-01-02",1987
12394407,47820083,"1998-04-09",1998
12526656,47836492,"1998-09-30",1998
11523803,47839381,"1990-12-11",1990
12697842,47877412,"2000-07-03",2000
11594849,47879802,"1994-02-15",1994
11493437,47882921,"1995-02-16",1995
12780431,47913182,"1998-12-24",1998
11140137,47915801,"1988-08-23",1988
12023208,47927501,"1993-06-07",1993
10977483,47928401,"1985-10-29",1985
11291410,47928491,"1986-03-31",1986
11291410,47928492,"1986-03-31",1986
12622471,47928762,"2000-03-09",2000
12650649,47932531,"1999-06-21",1999
12792856,47939101,"2000-12-11",2000
13249020,47973591,"2002-09-13",2002
11146135,47976351,"1989-12-11",1989
12950558,48003401,"2001-01-12",2001
12878420,48044902,"1999-06-23",1999
11604623,48051234,"1992-06-15",1992
12612871,48052372,"1999-10-21",1999
12594888,48073601,"1999-01-05",1999
12107509,48081513,"1993-05-19",1993
11749200,48091704,"1992-05-08",1992
11026452,48093088,"1986-04-10",1986
12794359,48093172,"1998-09-03",1998
12616736,48102791,"2001-02-20",2001
12757584,48114912,"1998-11-13",1998
11509479,48117332,"1991-07-10",1991
11631170,48117832,"1991-12-16",1991
12240602,48131982,"1997-05-01",1997
12850745,48142581,"2001-04-10",2001
11485344,48145522,"1991-09-06",1991
11927104,48157841,"1997-01-13",1997
12073299,48167304,"1990-05-29",1990
11799074,48171152,"1992-12-29",1992
11497304,48176131,"1991-05-14",1991
11944243,48186603,"1996-02-09",1996
11881750,48209931,"1993-06-22",1993
12878420,48233184,"1999-06-23",1999
11517236,48236541,"1988-10-14",1988
11304603,48274391,"1991-05-24",1991
12155782,48317811,"1996-08-27",1996
13068657,48317811,"2000-12-08",2000
11698276,48344834,"1992-02-28",1992
12403524,48369023,"1999-03-12",1999
11436860,48376431,"1988-02-03",1988
13230576,48377861,"2001-01-31",2001
12232402,48392153,"1993-09-27",1993
11054437,48408961,"1981-02-03",1981
12113102,48419772,"1996-01-12",1996
12009492,48456581,"1993-12-06",1993
11785109,48457311,"1993-12-22",1993
11704792,48478902,"1988-05-27",1988
12958422,48495361,"2002-01-31",2002
12923342,48499131,"2001-09-26",2001
12314018,48504491,"1995-09-26",1995
11533704,48505601,"1991-11-04",1991
13239537,48519921,"2002-03-22",2002
12339687,48532642,"1995-11-06",1995
12453929,48536301,"1996-10-03",1996
12638732,48537742,"1999-04-20",1999
10956504,48565042,"1985-01-16",1985
12802731,48568912,"2000-06-30",2000
11422207,48593041,"1992-01-16",1992
11625868,48593041,"1992-01-16",1992
10968108,48596122,"1985-10-09",1985
11173373,48634732,"1986-02-04",1986
10949702,48641601,"1987-01-22",1987
12126097,48666522,"1996-10-24",1996
12002167,48720631,"1998-02-17",1998
